<<<<<<< HEAD
ImageURL,Title,Artist,Year,angry
https://uploads3.wikiart.org/images/albrecht-durer/the-four-horsemen-of-the-apocalypse-death-famine-pestilence-and-war-1498.jpg,"The Four Horsemen of the Apocalypse, Death, Famine, Pestilence and War",Albrecht Durer,1498,0.8
https://uploads2.wikiart.org/images/adriaen-brouwer/the-bitter-drunk.jpg,The Bitter Drunk,Adriaen Brouwer,XVII cent.,0.727
https://uploads8.wikiart.org/images/nyoman-masriadi/the-man-from-bantul-the-final-round-2000.jpg,The Man from Bantul (The Final Round),Nyoman Masriadi,2000,0.727
https://uploads4.wikiart.org/images/alexander-orlowski/cossack-fighting-off-a-tiger-1811.jpg,Cossack Fighting off a Tiger,Alexander Orlowski,1811,0.727
https://uploads5.wikiart.org/images/max-ernst/the-virgin-spanking-the-christ-child-before-three-witnesses-andre-breton-paul-eluard-and-the-1926.jpg,"The Virgin Spanking the Christ Child before Three Witnesses: Andre Breton, Paul Eluard, and the Painter",Max Ernst,1926,0.7
https://uploads8.wikiart.org/images/francisco-zurbaran/hercules-fighting-with-the-lernaean-hydra-1634.jpg,Hercules Fighting with the Lernaean Hydra,Francisco de Zurbaran,1634,0.636
https://uploads7.wikiart.org/images/bertalan-por/the-family-1909.jpg,The Family,Bertalan Por,1909,0.636
https://uploads5.wikiart.org/images/adriaen-van-ostade/a-fight.jpg,A Fight,Adriaen van Ostade,1637,0.615
https://uploads1.wikiart.org/images/jean-fouquet/battle-of-fontenoy-en-puisaye-in-841.jpg,Battle of Fontenoy-en-Puisaye in 841,Jean Fouquet,1460,0.6
https://uploads3.wikiart.org/images/pierre-paul-prud-hon/justice-and-divine-vengeance-pursuing-crime-1808.jpg,Justice and Divine Vengeance pursuing Crime,Pierre-Paul Prud&#39;hon,1808,0.6
https://uploads6.wikiart.org/images/eustache-le-sueur/rape-of-tamar-1640.jpg,Rape of Tamar,Eustache Le Sueur,1640,0.6
https://uploads1.wikiart.org/images/paolo-uccello/st-george-and-the-dragon-1.jpg,St.George and the Dragon,Paolo Uccello,XV cent.,0.6
https://uploads3.wikiart.org/images/francisco-goya/execution-of-the-defenders-of-madrid-3rd-may-1808-1814.jpg,The Third of May 1808 (Execution of the Defenders of Madrid),Francisco Goya,1814,0.6
https://uploads4.wikiart.org/images/anne-louis-girodet/revolt-in-cairo-on-21-october-1798-1810(1).jpg,Revolt in Cairo (on) 21 October 1798,Anne-Louis Girodet,1810,0.551
https://uploads3.wikiart.org/images/agostino-carracci/venus-punishing-profane-love-1595.jpg,Venus Punishing Profane Love,Agostino Carracci,1590-1595,0.545
https://uploads4.wikiart.org/images/paolo-uccello/the-battle-of-san-romano-1440.jpg,The Battle of San Romano,Paolo Uccello,1438-1440,0.545
https://uploads3.wikiart.org/images/adriaen-van-de-venne/beggars-fighting-1634.jpg,Beggars Fighting,Adriaen van de Venne,1634,0.545
=======
"ImageURL","Title","Artist","Year","angry"
"https://uploads3.wikiart.org/images/albrecht-durer/the-four-horsemen-of-the-apocalypse-death-famine-pestilence-and-war-1498.jpg","The Four Horsemen of the Apocalypse, Death, Famine, Pestilence and War","Albrecht Durer","1498","0.800"
"https://uploads2.wikiart.org/images/adriaen-brouwer/the-bitter-drunk.jpg","The Bitter Drunk","Adriaen Brouwer","XVII cent.","0.727"
"https://uploads8.wikiart.org/images/nyoman-masriadi/the-man-from-bantul-the-final-round-2000.jpg","The Man from Bantul (The Final Round)","Nyoman Masriadi","2000","0.727"
"https://uploads4.wikiart.org/images/alexander-orlowski/cossack-fighting-off-a-tiger-1811.jpg","Cossack Fighting off a Tiger","Alexander Orlowski","1811","0.727"
"https://uploads5.wikiart.org/images/max-ernst/the-virgin-spanking-the-christ-child-before-three-witnesses-andre-breton-paul-eluard-and-the-1926.jpg","The Virgin Spanking the Christ Child before Three Witnesses: Andre Breton, Paul Eluard, and the Painter","Max Ernst","1926","0.700"
"https://uploads8.wikiart.org/images/francisco-zurbaran/hercules-fighting-with-the-lernaean-hydra-1634.jpg","Hercules Fighting with the Lernaean Hydra","Francisco de Zurbaran","1634","0.636"
"https://uploads7.wikiart.org/images/bertalan-por/the-family-1909.jpg","The Family","Bertalan Por","1909","0.636"
"https://uploads5.wikiart.org/images/adriaen-van-ostade/a-fight.jpg","A Fight","Adriaen van Ostade","1637","0.615"
