"ImageURL","Title","Artist","Year","happy"
"https://uploads0.wikiart.org/images/jean-honore-fragonard/the-blind-man-s-bluff-game.jpg","Blind Manâs Bluff","Jean-Honore Fragonard","1769-1770","1.000"
"https://uploads6.wikiart.org/images/alfred-sisley/the-dam-loing-canal-at-saint-mammes-1884.jpg","The Dam, Loing Canal at Saint Mammes","Alfred Sisley","1884","1.000"
"https://uploads5.wikiart.org/images/pierre-auguste-renoir/the-luncheon-of-the-boating-party-1881-1.jpg","The Luncheon of the Boating Party","Pierre-Auguste Renoir","1880-1881","1.000"
"https://uploads6.wikiart.org/00144/images/otto-mueller/otto-mueller-t-nzerin-mit-schleier-von-einem-mann-beobachtet-ca1903.jpeg","T&#228;nzerin Mit Schleier, Von Einem Mann Beobachtet","Otto Mueller","1903","1.000"
"https://uploads0.wikiart.org/images/eric-ravilious/tennis-triptych-centre-panel-1930.jpg","Tennis (triptych, centre panel)","Eric Ravilious","1930","1.000"
"https://uploads7.wikiart.org/images/giovanni-boldini/the-hammock.jpg","The Hammock","Giovanni Boldini","1872-1874","1.000"
"https://uploads4.wikiart.org/images/theodore-rousseau/sunset-in-the-forest-1866.jpg","Sunset in the forest","Theodore Rousseau","1866","1.000"
"https://uploads3.wikiart.org/images/francois-boucher/the-fountain-of-love-1748.jpg","The Fountain of Love","Francois Boucher","1748","1.000"
"https://uploads2.wikiart.org/images/david-allan/james-abercromby-of-tullibody-esq-1779.jpg","James Abercromby of Tullibody, Esq.","David Allan","1779","1.000"
"https://uploads5.wikiart.org/images/johann-anton-de-peters/the-happy-mother-1775.jpg","The Happy Mother","Johann Anton de Peters","1775","1.000"
"https://uploads0.wikiart.org/00123/images/charles-courtney-curran/lotus-lilies-1888.jpg","Lotus Lilies","Charles Courtney Curran","1888","1.000"
"https://uploads6.wikiart.org/00141/images/louise-abbema/louise-abb-ma-a-game-of-croquet.jpg","A Game of Croquet","Louise Abb&#233;ma","1872","1.000"
"https://uploads3.wikiart.org/images/pierre-auguste-renoir/by-the-seashore-1883.jpg","By the Seashore","Pierre-Auguste Renoir","1883","1.000"
"https://uploads7.wikiart.org/00145/images/zaya/dance.jpg","Dance","Zaya","XX cent.","1.000"
"https://uploads8.wikiart.org/images/john-lavery/boating-on-the-thames-1890.jpg","Boating on the Thames","John Lavery","1890","1.000"
"https://uploads2.wikiart.org/images/william-collins/children-playing-with-puppies-1812.jpg","Children Playing with Puppies","William Collins","1812","1.000"
"https://uploads1.wikiart.org/images/gustave-caillebotte/skiffs-on-the-yerres.jpg","Skiffs on the Yerres","Gustave Caillebotte","1877","1.000"
"https://uploads2.wikiart.org/images/edgar-degas/dance-class-at-the-opera-1872.jpg","Dance Class at the Opera","Edgar Degas","1872","1.000"
"https://uploads8.wikiart.org/images/john-william-godward/sweet-dreams-1901.jpg","Sweet Dreams","John William Godward","1901","1.000"
"https://uploads5.wikiart.org/images/pierre-auguste-renoir/ball-at-the-moulin-de-la-galette-1876(1).jpg","Dance at Moulin de la Galette","Pierre-Auguste Renoir","1876","0.917"
"https://uploads7.wikiart.org/images/abraham-van-strij/two-goats-in-a-yard.jpg","Two goats in a yard","Abraham van Strij","XVIII-XIX cent.","0.917"
"https://uploads4.wikiart.org/images/paul-bril/fantastic-mountain-landscape-1598.jpg","Fantastic mountain landscape","Paul Bril","1598","0.909"
"https://uploads7.wikiart.org/00144/images/vasiliy-ryabchenko/vasiliy-ryabchenko-flowering-time-70-75-cm-oil-on-canvas-1987-1.jpg","Flowering time","Vasiliy Ryabchenko","1987","0.909"
"https://uploads1.wikiart.org/images/hercules-seghers/two-trees-1625.jpg","Two Trees","Hercules Seghers","1625","0.909"
"https://uploads6.wikiart.org/images/adriaen-van-ostade/peasants-drinking-and-making-music-in-a-barn.jpg","Peasants Drinking and Making Music in a Barn","Adriaen van Ostade","1630-1635","0.909"
"https://uploads0.wikiart.org/images/andrea-solario/the-lute-player.jpg","The Lute Player","Andrea Solario","XV-XVI cent.","0.900"
"https://uploads6.wikiart.org/images/henry-herbert-la-thangue/farm-near-horsey-norfolk-1885.jpg","Farm Near Horsey, Norfolk","Henry Herbert La Thangue","1885","0.900"
"https://uploads5.wikiart.org/images/stefan-luchian/interior-lorica-1913.jpg","Interior (Lorica)","Stefan Luchian","1913","0.900"
"https://uploads8.wikiart.org/images/tom-roberts/a-summer-morning-tiff-1886.jpg","A Summer Morning Tiff","Tom Roberts","1886","0.900"
"https://uploads5.wikiart.org/images/edvard-weie/sunrise-christians-1915.jpg","Sunrise, Christians&#248;","Edvard Weie","1915","0.900"
